Authors;Title;Source title;DOI;Link;Abstract
"Alaoua, A.; Mohammed, M.";A Bayesian learning approach for predictive resilience in engineer-to-order supply chains;Supply Chain Analytics;10.1016/j.sca.2025.100190;https://www.scopus.com/inward/record.uri?eid=2-s2.0-105025204551&doi=10.1016%2Fj.sca.2025.100190&partnerID=40&md5=5d5d1be4092ed2e0f5aa0a5db6570295;Accurate supplier lead time prediction is critical for maintaining resilience in Engineer-to-Order (EtO) supply chains, characterized by high customization and uncertainty. This study develops a simulation-based predictive framework combining log-normal sensitivity analysis, Internet of Things (IoT)-driven adaptation, and Bayesian Neural Network (BNN) updating to conceptually investigate predictive resilience. Using industry-informed synthetic data that reflect realistic variability in lead times and operational disruptions, the framework is demonstrated through Monte Carlo simulation conducted across sixteen parameter scenarios under both moderate and high variability conditions, providing a proof-of-concept tool that illustrates potential operational benefits in EtO supply chains and establishes a foundation for future empirical validation. Results show that the baseline log-normal model performs adequately in stable conditions, its accuracy deteriorates under parameter shifts, and the IoT-adjusted framework reduces sensitivity to variability, while the BNN-enhanced model further improves robustness by jointly modeling aleatoric and epistemic uncertainty. The approach advances supply chain analytics by integrating statistical modeling, real-time IoT feedback, and Bayesian learning, offering theoretical insights and simulation-based, conceptual decision-support implications for supplier management and risk analysis.
"Simonetti, F.; Ciuccoli, N.; Ankan, A.; Mancini, M.; Castellani, M.; Sgroi, M.; Fatone, F.; Migliorati, V.";A Bayesian probabilistic framework for next-generation chemical risk assessment: The case of PFOA in crops irrigated with treated wastewater;Water Research;10.1016/j.watres.2025.125133;https://www.scopus.com/inward/record.uri?eid=2-s2.0-105024663090&doi=10.1016%2Fj.watres.2025.125133&partnerID=40&md5=96ac306571c28e4ab3f43d9b74b18d22;Poly- and perfluoroalkyl substances (PFAS) are persistent organic pollutants ubiquitously detected across aquatic matrices, representing a significant concern for both human health and the resilience of aquatic ecosystems. Continuously released by wastewater treatment plants, there is an urgent need to develop innovative and adaptable methodologies for their risk assessment in both retrospective and prospective ways, aiming to describe uncertainty to produce a reliable risk estimate. Current methods for quantitative health risk assessment for PFAS are mostly deterministic and case-specific, with very few studies available, primarily due to limited knowledge about fate, transport, and toxicity, as well as a lack of suitable data necessitating lab- and time-intensive pilot experiments. Here, a Bayesian network-based risk assessment approach is proposed to model health risk associated with perfluorooctanoic acid through consumption of salad irrigated with reclaimed wastewater. This method, built upon evidence from the literature and experts knowledge, accounts for health risk assessment across conventional exposure scenarios, providing a valuable decision-making and risk management tool for water utilities. Its flexibility and universality allow for application even in data-scarce environments, with robustness improving as new evidence becomes available. The proposed risk model is intended to describe the multi-barrier approach perspective, facilitating forecasting and risk mitigation throughout the supply chain, and supporting efficient water management and reuse. In conclusion, the validated model was applied to data collected during a one-year monitoring campaign at two wastewater treatment plants, revealing a low risk of PFOA exposure.
"Azad, N.; Hassini, E.";A benders decomposition method for designing reliable supply chain networks accounting for multimitigation strategies and demand losses;Transportation Science;10.1287/trsc.2018.0875;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077464766&doi=10.1287%2Ftrsc.2018.0875&partnerID=40&md5=0d17890f019147277c9d01d121462711;This paper investigates the design of reliable supply networks to make them resilient to unpredictable disruptions. We develop an optimization model that incorporates several features, including (1) partial failure of facilities (instead of complete shutdown) resulting in interrupted supply capacity, (2) the effect of disruption on customer demand, and (3) the possibility to use multistrategies to mitigate disruption. We formulate a mixedinteger linear programming model to determine the optimal location of facilities and assignment of customers to opened facilities. An accelerated Benders decomposition method with valid inequalities is proposed to solve the problem. We discuss the computational efficiency of this decomposition procedure using two case studies as well as randomized data. For medium- and large-sized instances, our approach can decrease computational times by as much as 60%on average.Weanalyze the effect of multimitigation policies on the optimal solution and the model performance. Compared with the existing single-mitigation strategy models, we find that our model reduces the need for redundancy by as much as 50% and improves the total cost by as much as 8% in our case studies.
"Panahi, H.; Sabouhi, F.; Bozorgi-Amiri, A.; Ghaderi, S.F.";A data-driven optimization model for renewable electricity supply chain design;Renewable and Sustainable Energy Reviews;10.1016/j.rser.2024.114618;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196671206&doi=10.1016%2Fj.rser.2024.114618&partnerID=40&md5=3229f3d926e628b70cfcf1d0d3164978;"The rising electricity demand, driven by technological progress and population growth, has made the design of the electricity supply chain a major challenge. The transition to renewable energy sources has led to a substantial reduction in the costs and greenhouse gases emissions of electricity production. This study proposes a hybrid approach consisting of a recurrent neural network and an optimization model for designing a resilient electricity supply chain based on wind and solar energies. First, the electricity demand is forecast using the long short-term memory algorithm. Second, based on the forecast demand, a two-stage stochastic programming model is developed for designing an electricity supply chain under disruption risks. Partial and complete disruptions in power lines and facilities, including power plants, distribution and subtransmission substations, and low-power solar panel farms are considered. The objective of the proposed model is to minimize the total cost of the supply chain by making optimal decisions on facility location; technology selection for power plants; setting up transmission lines; and the quantity of power generation, power transmission, and power shortage in low- and high-voltage energy consumption systems. Three strategies are adopted to enhance the supply chain's resilience: multiple renewable energy sources, multiple power transmission lines, and lateral power lines. Lastly, the Sistan and Baluchestan Electric Power Distribution Company in Iran is used as a case study for this work to demonstrate the applicability of the proposed approach, analyze the findings, and derive relevant managerial insights."
"Lotfi, R.; Hazrati, R.; Aghakhani, S.; Afshar, M.; Amra, M.; Ali, S.S.";A data-driven robust optimization in viable supply chain network design by considering Open Innovation and Blockchain Technology;Journal of Cleaner Production;10.1016/j.jclepro.2023.140369;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182019064&doi=10.1016%2Fj.jclepro.2023.140369&partnerID=40&md5=93526d771873de186d2e22dcec8ee220;The research proposes a new method for Viable Supply Chain Network Design (VSCND) that incorporates Open Innovation (OI) and Blockchain Technology (BCT). A robust stochastic optimization and Conditional Value at Risk (CVaR) in the cost function is utilized to develop the model. This model's objective function incorporates the expected value, maximum cost, and CVaR cost. The OI and BCT platforms are suggested for an antifragile policy against disruption. In addition, CO<inf>2</inf> emissions and energy consumption are proposed as sustainability requirements. Eventually, minimum demand satisfaction and resilience facilities by incorporating capacity based on specific scenarios are added to the model for an agile strategy. This research entails several parties, including vendors supplying the primary components and manufacturers creating products based on customer preferences. OI and BCT platforms aim to receive demand based on customer specifications and facilitate rapid transactions between components. Risk-averse decision-makers utilize a polyhedral Data-Driven Robust Optimization (DDRO) approach to manage uncertainty and flexible sets. Incorporating OI and BCT as antifragility instruments resulted in a 0.2% cost reduction for VSCNDOIBCT compared to when OI and BCT were not considered. This research suggests that integrating OI and BCT positively affects SC performance overall. The decreasing rate, DDRO coefficient, agility rate, demand variation, and problem size were subjected to a sensitivity analysis.
"Mohammadi, M.; Seif, M.; Tosarkani, B.M.";A decentralized web-app decision support system for logistics management in wildfire;;10.1016/B978-0-443-33740-6.00008-6;https://www.scopus.com/inward/record.uri?eid=2-s2.0-105019728989&doi=10.1016%2FB978-0-443-33740-6.00008-6&partnerID=40&md5=dedaf86ab67adb84482b971c3a94be3e;The increasing frequency and severity of wildfires due to climate change necessitate advanced strategies for effective management. This study presents a comprehensive framework that integrates machine learning, decision-making models, and blockchain technology to enhance predictive models and evacuation strategies in wildfire management. The proposed framework addresses all three phases of wildfire management, including predisaster, during-disaster, and postdisaster, by developing geospatial-based machine learning models to predict wildfire occurrence, spread, and speed, which enable early identification of high-risk areas. Moreover, this study proposes innovative risk mitigation strategies through decision-making models for wildfire suppression operations, evacuation planning with ridesharing options, and relief distribution network design to optimize resource allocation and evacuation efficiency. Furthermore, developing a decentralized decision support framework integrated with social media provides real-time notifications to facilitate information sharing and enhance coordination among stakeholders. The implementation of this framework aims to minimize losses, improve resource utilization, and strengthen community resilience by developing advanced technologies and data-driven insights in wildfire management. © 2026 Elsevier Inc. All rights reserved.
"Abedian, M.; Saghafinia, A.; Hejazi, M.";A Fuzzy Analysis Approach to Green-Resilient Supplier Selection in Electronic Manufacturing Systems;Cybernetics and Systems;10.1080/01969722.2022.2067633;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129861057&doi=10.1080%2F01969722.2022.2067633&partnerID=40&md5=75ad3a3f8cc65472ca2d8d0c4c271250;Adopting environmentally sound practices and utilizing resilient issues to face disruptive events and risks are new important agendas for enterprises, governments, and societies. The issue of supplier selection and evaluation in accordance with green and resilient principles has received little attention in the electronic industry. So, the present study aims to consider both criteria of resilience and greenness in a new supplier selection model. This study presents an integrated decision-making method based on the fuzzy set theory and data envelopment analysis (DEA) approach for supplier selection in a supply chain network in an electronic manufacturing company. The fuzzy set theory was used for analyzing suppliers' indicator weights, the suppliers' performance, and rating them with respect to subcriteria. Then, the obtained data were aggregated to classify and prepare them for use in a version assurance region of the DEA method with one dummy input and three output variables to rank the suppliers. The performance of the proposed DEA-based model has been verified through the sensitivity analysis and it has been validated by the existing FIS-based model in the literature. Furthermore, the proposed DEA-based model can be designed with any number of suppliers and criteria and subcriteria. © 2022 Taylor & Francis Group, LLC.
"Khemiri, R.; Elbedoui-Maktouf, K.; Grabot, B.; Zouari, B.";A fuzzy multi-criteria decision-making approach for managing performance and risk in integrated procurement–production planning;International Journal of Production Research;10.1080/00207543.2017.1308575;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017035479&doi=10.1080%2F00207543.2017.1308575&partnerID=40&md5=68b74069c096806a2fb8ac158793a680;Nowadays in Supply Chain (SC) networks, a high level of risk comes from SC partners. An effective risk management process becomes as a consequence mandatory, especially at the tactical planning level. The aim of this article is to present a risk-oriented integrated procurement–production approach for tactical planning in a multi-echelon SC network involving multiple suppliers, multiple parallel manufacturing plants, multiple subcontractors and several customers. An originality of the work is to combine an analytical model allowing to build feasible scenarios and a multi-criteria approach for assessing these scenarios. The literature has mainly addressed the problem through cost or profit-based optimisation and seldom considers more qualitative yet important criteria linked to risk, like trust in the supplier, flexibility or resilience. Unlike the traditional approaches, we present a method evaluating each possible supply scenario through performance-based and risk-based decision criteria, involving both qualitative and quantitative factors, in order to clearly separate the performance of a scenario and the risk taken if it is adopted. Since the decision-maker often cannot provide crisp values for some critical data, fuzzy sets theory is suggested in order to model vague information based on subjective expertise. Fuzzy Technique for Order of Preference by Similarity to Ideal Solution is used to determine both the performance and risk measures correlated to each possible tactical plan. The applicability and tractability of the proposed approach is shown on an illustrative example and a sensitivity analysis is performed to investigate the influence of criteria weights on the selection of the procurement–production plan. © 2017 Informa UK Limited, trading as Taylor & Francis Group.
"Nazari-Shirkouhi, S.; Tavakoli, M.; Govindan, K.; Mousakhani, S.";A hybrid approach using Z-number DEA model and Artificial Neural Network for Resilient supplier Selection;Expert Systems with Applications;10.1016/j.eswa.2023.119746;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149851359&doi=10.1016%2Fj.eswa.2023.119746&partnerID=40&md5=5fc45a2e33cb47900431d1011ec29757;Today's business environment has created a high level of uncertainty and disturbed procedures in supply chains. Suppliers have been often identified as the main source of risks in creating the massive levels of disruptions in supply chains. That is why resilient supplier selection can greatly reduce purchase costs and time delays and can create stability in business practices, thereby increasing competitiveness and customer satisfaction. Pharmaceutical companies play an important key role in the health of society, and these companies are frequently exposed to this disorder. Hence, this paper tries to propose a new integrated approach based on traditional (delivery, quality, price, technology level) and resilient criteria for supplier selection in pharmaceutical companies using the Z-number data envelopment analysis (Z-DEA) model and artificial neural network (ANN). In the proposed approach, expert opinions have been provided based on Z-numbers due to the inherent ambiguity and uncertainty in the evaluation process. This is the first study that evaluates the pharmaceutical industry based on traditional and resilience factors by presenting a methodological structure under the uncertainty environment. Here, a fuzzy mathematical model is used. A real case study is utilized to indicate the applicability of the proposed approach to resilient supplier selection in the pharmaceutical industry. Finally, the suppliers are ranked and the best supplier is selected regarding the reliable level of α. To indicate the features and capabilities of the selected approach, the performance analysis is presented in three parts. First, the obtained results are compared with a fuzzy DEA (FDEA) method in the form of validation and verification. Second, a sensitivity analysis is executed to show the effects of different criteria on ranking results, and the price index is identified as the most important evaluation criteria. Third, a predictive model is presented based on ANN that is able to detect the efficiency or inefficiency of suppliers with an 83% accuracy. © 2023 The Author(s)
"Zhang, W.; Yu, C.; Newman, S.T.; Cheung Ho Kin, D.; Zhong, R.Y.";A machine learning approach for forecasting resilient material delivery in the construction industry;International Journal of Production Research;10.1080/00207543.2025.2482733;https://www.scopus.com/inward/record.uri?eid=2-s2.0-105002028792&doi=10.1080%2F00207543.2025.2482733&partnerID=40&md5=8f391226df596a64458b12356268f3ed;In the construction industry, the unpredictable delivery of materials together with the delivery of incorrect materials is a frequent occurrence. This leads to supply chain disruptions and failure to align with other stakeholders. Contractors aim to develop a resilient supply chain by mitigating these risks regarding delivery and controlling costs by being kept well informed of potential delays. In this paper, the authors propose a novel digital twin-enabled model for mapping delivery networks and monitoring supply chain risks. The contingency and disruption amid the construction supply chain provide indisputable evidence for the need for digital twin technology to ensure visibility. The collected data shows the relationship between materials and corresponding machines (MCM) via a hidden transition and usage plan. The paper presents a new improved Hidden Markov Model (HMM) approach entitled the Multi-Material & Machine Hidden Markov Model (M3HMM), as it considers the relationships of usage plans for MCM to forecast delivery and ensure supply chain resilience. The results show that with respect to resilience, M3HMM consistently performs the best compared with other algorithms, including LR, SVR, GMM, LSTM and HMM. It also ultimately enables industrial contractors to enhance their predictive and reactive decision-making, reducing the risk. © 2025 Informa UK Limited, trading as Taylor & Francis Group.
